#rango de variables usado
#p_cruce_val = [0.4, 0.5, 0.6, 0.7]
#p_mutacion_val = [ 0.7, 0.8, 0.9, 1]
#tamano_poblacion_val = [6, 8, 10, 12]
#n_elementos_p_inicial_val = [3, 4, 5, 6, 7, 8]

{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 7, 'tiempo': 5.257113218307495}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 8, 'tiempo': 6.745191812515259}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 3, 'tiempo': 5.410789728164673}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 4, 'tiempo': 6.482089996337891}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 5, 'tiempo': 5.140044450759888}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 6, 'tiempo': 5.815528392791748}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 7, 'tiempo': 7.211519241333008}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 8, 'tiempo': 6.390999794006348}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 3, 'tiempo': 5.997525930404663}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 4, 'tiempo': 8.21888017654419}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 5, 'tiempo': 5.2970356941223145}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 6, 'tiempo': 6.011089563369751}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 7, 'tiempo': 7.569006443023682}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 8, 'tiempo': 5.988615274429321}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 3, 'tiempo': 5.925227403640747}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 4, 'tiempo': 5.437925338745117}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 5, 'tiempo': 6.319839954376221}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 6, 'tiempo': 5.537167549133301}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 7, 'tiempo': 6.407794237136841}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 8, 'tiempo': 5.548928499221802}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 3, 'tiempo': 6.561982154846191}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 4, 'tiempo': 5.625249624252319}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 5, 'tiempo': 7.376663446426392}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 6, 'tiempo': 5.6721203327178955}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 7, 'tiempo': 6.943521499633789}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 8, 'tiempo': 5.846471309661865}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 3, 'tiempo': 5.70080304145813}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 4, 'tiempo': 5.977919578552246}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 5, 'tiempo': 5.064270496368408}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 6, 'tiempo': 9.894503116607666}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 7, 'tiempo': 10.010900735855103}
{'p_cruce': 0.4, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 8, 'tiempo': 5.813287019729614}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 3, 'tiempo': 6.476811170578003}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 4, 'tiempo': 5.652614593505859}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 5, 'tiempo': 8.557774305343628}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 6, 'tiempo': 5.667909145355225}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 7, 'tiempo': 5.945860385894775}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 8, 'tiempo': 5.690553903579712}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 3, 'tiempo': 8.414852857589722}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 4, 'tiempo': 5.50989294052124}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 5, 'tiempo': 8.441982984542847}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 6, 'tiempo': 7.858209609985352}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 7, 'tiempo': 8.30457353591919}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 8, 'tiempo': 5.963550090789795}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 3, 'tiempo': 6.3271026611328125}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 4, 'tiempo': 5.498784303665161}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 5, 'tiempo': 8.675951719284058}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 6, 'tiempo': 5.980464935302734}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 7, 'tiempo': 6.8030548095703125}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 8, 'tiempo': 5.8548479080200195}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 3, 'tiempo': 6.615502595901489}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 4, 'tiempo': 5.651153326034546}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 5, 'tiempo': 6.807136535644531}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 6, 'tiempo': 8.394444704055786}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 7, 'tiempo': 9.868959188461304}
{'p_cruce': 0.4, 'p_mutacion': 1, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 8, 'tiempo': 6.824260234832764}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 3, 'tiempo': 5.156885623931885}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 4, 'tiempo': 5.347149848937988}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 5, 'tiempo': 6.582502841949463}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 6, 'tiempo': 5.636397361755371}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 7, 'tiempo': 6.719670534133911}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 8, 'tiempo': 5.695671796798706}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 3, 'tiempo': 6.3020713329315186}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 4, 'tiempo': 5.196125030517578}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 5, 'tiempo': 6.832851409912109}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 6, 'tiempo': 5.631997585296631}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 7, 'tiempo': 5.974752426147461}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 8, 'tiempo': 6.478084325790405}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 3, 'tiempo': 5.129872560501099}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 4, 'tiempo': 6.803952932357788}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 5, 'tiempo': 6.077744960784912}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 6, 'tiempo': 6.410606622695923}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 7, 'tiempo': 5.386977910995483}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 8, 'tiempo': 8.561607599258423}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 3, 'tiempo': 5.820903301239014}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 4, 'tiempo': 9.8306725025177}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 5, 'tiempo': 5.786354303359985}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 6, 'tiempo': 5.966883420944214}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 7, 'tiempo': 5.65693473815918}
{'p_cruce': 0.5, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 8, 'tiempo': 7.0584447383880615}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 3, 'tiempo': 6.732819080352783}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 4, 'tiempo': 6.252709150314331}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 5, 'tiempo': 5.547816038131714}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 6, 'tiempo': 6.773885726928711}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 7, 'tiempo': 5.643876075744629}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 8, 'tiempo': 6.083189249038696}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 3, 'tiempo': 6.156183958053589}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 4, 'tiempo': 6.049492835998535}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 5, 'tiempo': 5.675514459609985}
